Description;Category
UBER TRIP *;TRANSPORTE
DO FARMACIA - PING CT;SAÚDE
PIX TRANSF THIAGO 24/02;OUTROS
PIX TRANSF MARCIO 30 / 11;OUTROS
PAY -COCO BAMBU;RESTAURANTES
PAY - NANDRE - 27 ALIM 11 /;OUTROS
QRS PIX VIA POSTO T;TRANSPORTE
PAY - - REGINA FENA 11 11 /;MERCADO
RSCSS - 290 POSTO - 01 01 /;TRANSPORTE
PAY -G B STRAPAS;COMPRAS DIVERSAS
RSCSS-MILLAN PIZZ-16/06;RESTAURANTES
MARCELA TRANSFERÊNCIA;TRANSFERÊNCIA BANCÁRIA
- RSCSS BATOVI;RESTAURANTES
RSHOP 1405 - CEI - - 24 06 /;OUTROS
PIX QRS PIX MARKETP13 / 06;COMPRAS DIVERSAS
- PAY PIZZARIA LA;RESTAURANTES
- SACOLAO POPU CT;MERCADO
- YANG CT;RESTAURANTES
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
RESTAURANTES;RESTAURANTES
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
MARCELA TRANSFERÊNCIA;TRANSFERÊNCIA BANCÁRIA
- PAY GROSSI 26 COME - / 11;MERCADO
* HNA - QDBERENI CT;OUTROS
QRS PIX SACOLAO / POP26 04;MERCADO
FOLHA PARTICIPACAO DE;SALÁRIO
WISH RENT A - CT CA02 02 /;LAZER E ENTRETENIMENTO
PAY DONA DEOLA - - 13 12 /;RESTAURANTES
* PG NARR UNIVERSO 07 12 /;EDUCAÇÃO
PAG TIT ULO TIT ITAU;OUTROS
MP MELIMAIS *;LAZER E ENTRETENIMENTO
- PAY PAGMADEROI 30 - 04 /;RESTAURANTES
POUPANÇA REMUNERAÇÃO SALÁRIO;POUPANÇA E INVESTIMENTOS
SHOW CACAU;COMPRAS DIVERSAS
REMUNER POUP SALARIO BAS;POUPANÇA E INVESTIMENTOS
ISABEL TRANSFERÊNCIA;MESADA
- PAY SERVICO DIS - 05 02 /;OUTROS
MICROSOFT SUBSCRIPTION *;LAZER E ENTRETENIMENTO
PG * PRIMA LA CAS PRI;COMPRAS DIVERSAS
- RSHOP - SACOLAO POP 02 / 03;MERCADO
PIX TATIANE TRANSF;OUTROS
PANIFICADOR;MERCADO
INT DISTRIBUICA 00 COPEL;MORADIA
PANIFICADORA - CT ILIA;MERCADO
SUBSCRIPTION CHATGPT;LAZER E ENTRETENIMENTO
TRANSFERÊNCIA D GILCE;SAÚDE
FELIPED PAGAMENTO;OUTROS
PAG INT 157000402243 TIT;MORADIA
- RSCSS KF HONESTY;MERCADO
- PAY GUARDIAN - PA / 16 12;CUIDADOS COM O PET
SUPER FESTV;COMPRAS DIVERSAS
RANCHOS PAY - CHU;RESTAURANTES
TRANS BENATO;TRANSPORTE
CLUB03 ITAU UNIBANCO / 04;LAZER E ENTRETENIMENTO
PAY HAVAN PAROL -;COMPRAS DIVERSAS
- PAY - PAGASMSERV 22 05 /;OUTROS
FREDDO CT -;RESTAURANTES
UNICLASS INT VS;PAGAMENTO CARTÃO
000002 CEI DINHEIRO;RECEITA
191 STAR SH;RESTAURANTES
TRANSF PIX THIAGO 01 05 /;TRANSFERÊNCIA BANCÁRIA
INT DISTRIBUICA COPEL;MORADIA
GYMPASSBR GYMPASS;SAÚDE
PARAR SEM ABASTECE *;TRANSPORTE
- RSHOP J CONFECCAO;COMPRAS DIVERSAS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
- PAY TELECELL - / 10 12;COMPRAS DIVERSAS
PAY -PLANSHOPPIN-02/12;OUTROS
- PAY PAG JORGELU * 18 - / 05;OUTROS
- PAY PAGESKIMOS;RESTAURANTES
COLET TRANSPO - NSP CT E.;TRANSPORTE
21 STARBUCKS - TIO CT BA;RESTAURANTES
IFDMACARRAO IFOOD;RESTAURANTES
- POSTO RSCSS ATLAN;TRANSPORTE
TIT MOBILEPAG 3535411820;OUTROS
D FARMACIA E - RIA CT NIS;SAÚDE
- PAY VINI ARTHUR - 15 06 /;OUTROS
PAY -AUTO POSTO -04/11;TRANSPORTE
FOLHA PARTICIPACAO DE;SALÁRIO
TIT INT PAG BANCO 237;MORADIA
- RSHOP POP SACOLAO - 23 02 /;MERCADO
MODA DO BEM -CT TOS L;ROUPAS E ACESSÓRIOS
BEAL CIA;COMPRAS DIVERSAS
FLEX CLARO;TELECOMUNICAÇÕES
POP SACOLAO;MERCADO
POR MUFFATO;MERCADO
UBER * * TRIP UBER;TRANSPORTE
PAY - MUCHINSKI E - / 15 12;OUTROS
SAFE2PAY;TRANSFERÊNCIA BANCÁRIA
GATE GREEN;RESTAURANTES
- PAY ANTON SANTO;LAZER E ENTRETENIMENTO
- PAY PIZZARIA LA;RESTAURANTES
MARISA 649 01 / 02;ROUPAS E ACESSÓRIOS
- ESPETINHOS PAY - / 25 02;RESTAURANTES
ISABEL TRANSFERÊNCIA;MESADA
FELIPED PAGAMENTO;OUTROS
PAY -PANIFICADOR-02/12;MERCADO
PAY -LN CAFES LT-11/11;RESTAURANTES
- RSHOP POP SACOLAO - 31 05 /;MERCADO
FARMACIA E DROGARIA NIS;SAÚDE
- RSCSS PAG RESTAUR *;RESTAURANTES
PORCELANAS SCHMID 01/03;COMPRAS DIVERSAS
FAST SHOP 06 SA 12 /;COMPRAS DIVERSAS
PAG*GAROTAFA-CT N 02/03;ROUPAS E ACESSÓRIOS
PAY - ELVIS LUIZ - / 10 29;OUTROS
- DIVA COSMETI NODARI;COMPRAS DIVERSAS
- BATOVI RSCSS - 01 01 /;COMPRAS DIVERSAS
NISSE FARCIA CT -;SAÚDE
- PAY POSTO KAIMA - 18 / 01;TRANSPORTE
MERCADOLIVRE*ESTONENOVO;COMPRAS DIVERSAS
MOBILEPAG TIT BANCO 237;MORADIA
TRANSF PIX MARTTER31 12 /;TRANSFERÊNCIA BANCÁRIA
MUFFATO POR;MERCADO
FOLHA MENSAL PAGAMENTO;OUTROS
MUCHINSKI PAY - E - 24 02 /;MERCADO
HNA*QDBERENI-CT;OUTROS
STARBUCKS 24-CT TACAO;RESTAURANTES
QRS PIX PAY STEA07 / BY 03;LAZER E ENTRETENIMENTO
PAY DHL - - POS - C 29 05 /;TRANSPORTE
- PAY LJ 3095 - SH 08 12 /;OUTROS
PIX TRANSF THIAGO 20/12;OUTROS
- PAY BAMBU COCO;RESTAURANTES
PAG*LOJASRENNER 03/03;ROUPAS E ACESSÓRIOS
PAGTO FINANC VEIC 24 18 /;TRANSPORTE
- PAY - PAGASMSERV 22 05 /;OUTROS
- PAY FESTVAL BAT 20 - 06 /;MERCADO
SHOP SA FAST 06 / 12;COMPRAS DIVERSAS
PAY - DU CAFE BOM 24 - 05 /;RESTAURANTES
PAY - - LJ 3095 SH 08 / 12;OUTROS
- PAY BAT FESTVAL 04 - / 10;MERCADO
PAY -HNA*OBOTICA-02/12;COMPRAS DIVERSAS
A RENT - WISH CA02 CT / 02;OUTROS
PIX QRS CLARO S.A.;TELECOMUNICAÇÕES
PAY LANCHONETE -;RESTAURANTES
- PAY P BARBEARIA;CUIDADOS PESSOAIS
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
IFDJURASSIC IFOOD;RESTAURANTES
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
FESTIVAL;MERCADO
- RSCSS SHOP PET CL - / 16 05;CUIDADOS COM O PET
GATE GREEN;RESTAURANTES
PAY HUT - PIZZA P - 18 11 /;RESTAURANTES
* ESCOLASEBDOM BOSCO;EDUCAÇÃO
* UBER UBER TRIP *;TRANSPORTE
- PAY HONESTY KF 23 - 12 /;RESTAURANTES
- RSCSS DONALDS MC;RESTAURANTES
- PAG PAY * ANDRELI - / 17 12;OUTROS
CLARO PIX S QRS. A.;TELECOMUNICAÇÕES
* SEM PARAR ABASTECE;TRANSPORTE
- PAY QUERE POSTO;TRANSPORTE
AMAZON AWS SERVICOS BRA;OUTROS
RSHOP CIA - DE BEAL;COMPRAS DIVERSAS
MIX POP - ARTI CT DO01 03 /;COMPRAS DIVERSAS
- YANG CT;RESTAURANTES
KF PAY - HONESTY - 14 / 11;MERCADO
MEGA PAPELARIA CT BAZAR;EDUCAÇÃO
* IFD TR FOOD;RESTAURANTES
RSCSS PAMONHAS SE - - / 24 02;RESTAURANTES
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
IFOOD IFDMACARRAO;RESTAURANTES
- SACOLAO RSHOP POP;MERCADO
RSCSS POSTO ATLAN -;TRANSPORTE
RENT WISH A CT - / CA02 02;LAZER E ENTRETENIMENTO
PAY AERO - - CURITI / 25 06;ROUPAS E ACESSÓRIOS
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
- PAMONHAS RSCSS SE - 24 02 /;RESTAURANTES
REMUNERAÇÃO SALÁRIO POUPANÇA;POUPANÇA E INVESTIMENTOS
PIX TRANSF THIAGO 06/05;TRANSFERÊNCIA BANCÁRIA
TIT MOBILEPAG 237 BANCO;MORADIA
UBER *UBER *TRIP;TRANSPORTE
CCI ESTAPAR CT -;TRANSPORTE
CAXUX POSTO;TRANSPORTE
- PAY FREDDO GELA 04 - 03 /;RESTAURANTES
ICE MOANA CT -;RESTAURANTES
DRIVE BK POR - FRANCI CT;RESTAURANTES
JUROS SALARIO POUPANCA;POUPANÇA E INVESTIMENTOS
SEPHORA BATE-CT;COMPRAS DIVERSAS
- CONDOR PAY CHAM 06 - / 03;MERCADO
CAXUX POSTO;TRANSPORTE
PANIFICADOR;RESTAURANTES
MÓVEL CLARO;TELECOMUNICAÇÕES
AMERIC - LOJAS CT 15;COMPRAS DIVERSAS
FINANC PAGTO VEIC / 23 24;TRANSPORTE
* PG UNIVERSO NARR 12 09 /;EDUCAÇÃO
PAY - ASSAD - ANGUS 23 12 /;RESTAURANTES
IFDMACARRAO IFOOD;RESTAURANTES
PIX QRS ROBERTA MUL;TRANSFERÊNCIA BANCÁRIA
- RSCSS - BERLIN 11 12 /;OUTROS
FAST SA SHOP / 06 12;COMPRAS DIVERSAS
SPEDINI;RESTAURANTES
TRANS BENATO;TRANSPORTE
BAGAGGIO;COMPRAS DIVERSAS
- PAY PANIFICADOR;MERCADO
GYMPASSBR GYMPASS;SAÚDE
PAY FERNANDA -;OUTROS
- PAY - PANIFICADOR 31 10 /;MERCADO
RSHOP-SUBWAY BATE-24/02;RESTAURANTES
* MERCADOLIVRE SLOCSTORE;COMPRAS DIVERSAS
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
RICCA PASTA -CT;RESTAURANTES
IFOOD COM IFDZETAY;RESTAURANTES
- RSCSS STAR PA 218;LAZER E ENTRETENIMENTO
PANIFICADOR PAY - 16 - / 11;MERCADO
PAY UN - FARMACIA;SAÚDE
PAY - - 03 PANIFICADOR 05 /;MERCADO
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
PAY FREDDO GELA -;RESTAURANTES
PAY DONA - DEOLA - / 11 30;RESTAURANTES
- PAY ESTACIO - BAT 06 / 12;TRANSPORTE
RSHOP - SACOLAO POP;MERCADO
IFOOD IFDZORA FAST;RESTAURANTES
COPEL INT 00 DISTRIBUICA;MORADIA
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
PAY - RIMINI INDU;OUTROS
PAY - EVE NIDDALA - / 12 06;LAZER E ENTRETENIMENTO
SHOP PET - CLA CT LIVEIR;CUIDADOS COM O PET
PLANSHOPPIN PAY - 02 - / 12;OUTROS
- RODA PAY DAGUA;LAZER E ENTRETENIMENTO
DA DEMAI 21900 ULTRAGAZ;MORADIA
QRS PIX PARAR SEM I;TRANSPORTE
RESTAURANTES;RESTAURANTES
FAST SHOP SA 06/12;COMPRAS DIVERSAS
- RSHOP TURIS FARES 02 - / 01;OUTROS
PAG*MAURICIO-CT ECIDO;OUTROS
TRANSF PIX TATIANE;OUTROS
COMERCIO SBF PROD;COMPRAS DIVERSAS
PIX TRANSF ISABELL20/10;MESADA
- RSHOP SACOLAO POP - / 03 08;MERCADO
TED 745. . 0001 B PAYPAL D;RECEITA
UNICLASS INT VS;PAGAMENTO CARTÃO
* GOOGLE DL YOUTUB;LAZER E ENTRETENIMENTO
000003 CEI DINHEIRO;RECEITA
* TRIP UBER HELP. . UBER CO;TRANSPORTE
MERCADOLIVRE ESTONENOVO *;COMPRAS DIVERSAS
A RENT WISH - CA02 CT 02 /;OUTROS
- PAY PAG * - ANAFLAV 06 12 /;OUTROS
PAG INT 157000401393 TIT;MORADIA
TIT INT PAG 157000401617;MORADIA
AMAZONPRIMEBR;LAZER E ENTRETENIMENTO
* UBER UBER TRIP *;TRANSPORTE
PRATA BELE E - OMERCI CT;COMPRAS DIVERSAS
PAY INGRESSO CO -;LAZER E ENTRETENIMENTO
- PAY HIROTA EXPR - / 11 30;MERCADO
PIX QRS PARAR SEM I10 / 03;TRANSPORTE
PAY -SACOLAO POP-19/11;MERCADO
CONTA TRANSFERÊNCIA;TRANSFERÊNCIA BANCÁRIA
PANIFICADORA-CT ILIA;MERCADO
* TON PG PRIM - NITIN CT;OUTROS
PAY MUCHINSKI - E 24 - 02 /;MERCADO
CANTIN PRIMA CT -;RESTAURANTES
RESTAURANTES;RESTAURANTES
TRANSFERÊNCIA DEMERGE;OUTROS
* UBER UBER * TRIP;TRANSPORTE
PAY -DRIVE IN BU;RESTAURANTES
PIX TRANSF TATIANE;TRANSFERÊNCIA BANCÁRIA
- PAY KAIMA POSTO;TRANSPORTE
PAGAMENTO FINANCEIRO VEÍCULO;TRANSPORTE
- PAY - SACOLAO POP 23 / 11;MERCADO
PG * 09 UNIVERSO NARR 12 /;EDUCAÇÃO
DAJU AGUA VE-CT 02/02;ROUPAS E ACESSÓRIOS
QRS PIX 08 PREFEITURA / 12;OUTROS
- PAY - RESTAURANTES 13 12 /;RESTAURANTES
- PAY PAGJOHNNYR;OUTROS
O PAY PUDIM - PER - 25 / 02;RESTAURANTES
- RSHOP J CONFECCAO;COMPRAS DIVERSAS
- PAY QUEIJO PAO;RESTAURANTES
GUIL CARLOS;OUTROS
CASA RSHOP - BARAN 17 - / 05;OUTROS
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
E FARMACIA NIS DROGARIA;SAÚDE
INT COPEL DISTRIBUICA 00;MORADIA
PIX TATIANE02 TRANSF 01 /;TRANSFERÊNCIA BANCÁRIA
* PAG 03 LOJASRENNER / 03;ROUPAS E ACESSÓRIOS
TRANSF THIAGO PIX 24 / 02;OUTROS
- PAY GATE GREEN;RESTAURANTES
DO CAFE CAMP CT -;RESTAURANTES
FARES RSHOP - TURIS;LAZER E ENTRETENIMENTO
PAY DONA - - 30 DEOLA / 11;RESTAURANTES
COSMETIC LEO CT -;COMPRAS DIVERSAS
000001 CEI DINHEIRO;RECEITA
REMUNERAÇÃO POUPANÇA SALÁRIO;POUPANÇA E INVESTIMENTOS
PAY -PAG*ASMSERV-12/11;OUTROS
COLET TRANSPO - CT FUC -;TRANSPORTE
PANIFICADOR;MERCADO
WOW * BEAU NIX CT - P ALON;COMPRAS DIVERSAS
PAY RANCHOS CHU -;RESTAURANTES
PAY - LJ SH 3095 11 - 11 /;OUTROS
TIT MOBILEPAG 3535411820;MORADIA
MOVEL DA CLARO 08806989;TELECOMUNICAÇÕES
PAY PIPOCA - 23 AMER - / 12;RESTAURANTES
* PG CA PRIMA - CT PRI AS;COMPRAS DIVERSAS
SUBSCRIPTION CHATGPT;LAZER E ENTRETENIMENTO
TRANSF PIX WESTERN01 01 /;TRANSFERÊNCIA BANCÁRIA
ESCOLASEBDOM*BOSCO;EDUCAÇÃO
PAY -LF EVENTOS -12/10;LAZER E ENTRETENIMENTO
- LEABER PAY ESTA - / 06 12;TRANSPORTE
MADEIRAMADEIR 01 / 03;COMPRAS DIVERSAS
MARCELA TRANSFERÊNCIA;TRANSFERÊNCIA BANCÁRIA
- PAY PIZZARIA LA;RESTAURANTES
PAY -PAG*JORGELU-18/05;OUTROS
PAY FERNANDA -;OUTROS
TIT PAG ULO ITAU TIT;OUTROS
PAY -DRIVE IN BU-01/03;RESTAURANTES
LOVE COXINHA CT - ALLIADIU;RESTAURANTES
